,0,1
0,a_temperature_A,24.938
1,b_temperature_B,25.086
2,a_temperature_A,69.703
3,b_temperature_B,55.104
4,a_temperature_A,75.082
5,b_temperature_B,60.341
6,a_temperature_A,80.224
7,b_temperature_B,65.481
8,a_temperature_A,85.311
9,b_temperature_B,70.518
10,a_temperature_A,90.314
11,b_temperature_B,75.636
12,a_temperature_A,95.222
13,b_temperature_B,80.074
14,a_temperature_A,100.106
15,b_temperature_B,84.86
16,a_temperature_A,104.937
17,b_temperature_B,89.518
18,a_temperature_A,109.749
19,b_temperature_B,94.199
20,a_temperature_A,115.162
21,b_temperature_B,98.886
22,a_temperature_A,119.854
23,b_temperature_B,103.566
24,a_temperature_A,124.901
25,b_temperature_B,107.915
26,a_temperature_A,130.09
27,b_temperature_B,113.466
28,a_temperature_A,135.02
29,b_temperature_B,118.199
30,a_temperature_A,139.866
31,b_temperature_B,122.605
32,a_temperature_A,144.625
33,b_temperature_B,126.865
34,a_temperature_A,149.883
35,b_temperature_B,132.14
36,a_temperature_A,154.916
37,b_temperature_B,136.209
38,a_temperature_A,159.764
39,b_temperature_B,140.841
40,a_temperature_A,165.017
41,b_temperature_B,145.802
42,a_temperature_A,170.069
43,b_temperature_B,150.684
44,a_temperature_A,174.961
45,b_temperature_B,154.868
46,a_temperature_A,179.644
47,b_temperature_B,158.165
48,a_temperature_A,184.63
49,b_temperature_B,162.382
50,a_temperature_A,189.742
51,b_temperature_B,167.099
52,a_temperature_A,194.965
53,b_temperature_B,171.628
54,a_temperature_A,199.908
55,b_temperature_B,176.52
56,a_temperature_A,204.698
57,b_temperature_B,180.819
58,a_temperature_A,209.685
59,b_temperature_B,186.408
60,a_temperature_A,214.647
61,b_temperature_B,190.217
62,a_temperature_A,219.84
63,b_temperature_B,195.1
